age,gender,married,dependents,education,self_employed,employment_type,applicant_income,coapplicant_income,credit_score,loan_amount,loan_term_months,existing_loans_count,property_area,loan_status
24,Male,Yes,0,Graduate,No,Self-Employed,48634,11620,767,130,240,2,Rural,Approved
51,Female,Yes,1,Graduate,No,Salaried,24999,14734,693,212,240,1,Urban,Approved
46,Male,Yes,0,Graduate,No,Salaried,56800,0,723,171,240,1,Semiurban,Approved
38,Male,Yes,0,Graduate,No,Self-Employed,16073,8946,570,94,240,0,Rural,Rejected
37,Female,Yes,0,Graduate,Yes,Salaried,34572,0,745,151,120,1,Rural,Approved
54,Male,Yes,1,Graduate,No,Self-Employed,35699,25035,567,131,180,1,Semiurban,Rejected
24,Female,Yes,3,Graduate,Yes,Salaried,46177,0,745,170,180,0,Semiurban,Approved
48,Male,Yes,2,Graduate,No,Salaried,21686,9446,640,114,180,0,Semiurban,Approved
28,Male,No,1,Graduate,No,Salaried,13584,15505,713,73,180,0,Urban,Rejected
24,Female,Yes,1,Not Graduate,No,Salaried,39562,0,594,188,360,0,Semiurban,Approved
41,Male,Yes,1,Graduate,No,Salaried,47250,7196,635,177,360,1,Urban,Rejected
59,Male,Yes,0,Not Graduate,No,Salaried,60098,20176,713,273,240,1,Urban,Approved
49,Male,No,0,Graduate,No,Salaried,30355,0,748,70,240,2,Semiurban,Approved
50,Female,Yes,1,Graduate,No,Self-Employed,53522,0,778,130,240,1,Rural,Approved
48,Female,Yes,1,Not Graduate,No,Salaried,46300,0,576,120,240,1,Urban,Rejected
51,Male,Yes,0,Graduate,No,Self-Employed,70348,20006,545,110,120,1,Urban,Approved
41,Male,Yes,2,Graduate,No,Salaried,35324,8929,592,62,360,1,Urban,Rejected
25,Female,Yes,1,Graduate,Yes,Salaried,15291,43151,584,79,120,0,Urban,Rejected
53,Male,No,0,Graduate,No,Salaried,35108,11920,821,154,240,0,Rural,Approved
38,Male,Yes,0,Not Graduate,No,Self-Employed,37958,18166,801,105,120,0,Semiurban,Approved
40,Male,Yes,0,Not Graduate,No,Business,47056,12185,590,89,180,1,Urban,Rejected
35,Male,Yes,0,Graduate,No,Salaried,16876,23730,834,275,120,0,Rural,Approved
28,Female,No,0,Graduate,No,Self-Employed,31069,0,795,440,240,1,Urban,Approved
57,Female,No,0,Graduate,No,Salaried,56053,12676,533,131,360,2,Semiurban,Rejected
51,Female,No,0,Not Graduate,No,Salaried,34474,14824,587,63,60,1,Rural,Rejected
